查找,,,,,,,,,,,,,,,,,365,"Total Subsystem QTY (Week 20, 21 and 22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/.,,,,,,,,,,,,,,,,,81,Uploaded QTY(uploaded/canceled/N/A),,,,,,,RCC Verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Master List - 3-Week Lookahead
February 2nd, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"3WLA on Weeks: 6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems 3WLA,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Received Last Week,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Forecasted Next Week,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Delayed from Last week,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems Next Week,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,HOP Mechanical,HOP Piping,HOP E&I,HOP PCS,,,Area,LSU,,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
/,,2100,,LSU-CR-P-01,,,Air & Water for Primary Crushing,,,,,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,
/,Process,3410-21,Train 1,LSU-CC-P-10,3410-21-02,3412-PU-103,2nd Sulfide Cleaner Concentrate Transfer Pump 2 & VSD,13-Apr-2026,11-May-2026,13-Apr-2026,-28,20,(D:-28d),MEC+PIP+ELE+INS,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3410-21-02,PR2ME-PIL-QTY-50-HOP-FC-3410-21-02,"电气：
3个A类尾项，计划5月15日关闭完成
计划5月17日HOP包递交至阿曼审核
PR2ME-PIL-QTY-65-HOP-3410-21-02

仪表：PR2ME-PIL-QTY-70-HOP-3410-21-02",,,A - Proceed,,A - Proceed,2026/4/28,,,Partial,2026/4/28,,,,,,,3410-21-02,TRUE,Flotation,LSU-CC-P-10 2nd Sulphide Cleaner Flotation,,TRUE,3410-21-02,PR2ME-PIL-QTY-59-HOP-3410-21-02,PR2ME-PIL-QTY-50-HOP-FC-3410-21-02,PR2ME-PIL-QTY-70-HOP-3410-21-02,TRUE,TRUE,FALSE,,,,
/.,Process,3410-21,Train 1,LSU-CC-P-10,3410-21-01,3412-PU-102,2nd Sulfide Cleaner Concentrate Transfer Pump 1 & VSD,13-Apr-2026,11-May-2026,13-Apr-2026,-28,20,(D:-28d),MEC+PIP+ELE+INS,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3410-21-01,PR2ME-PIL-QTY-50-HOP-FC-3410-21-01,"仪表：PR2ME-PIL-QTY-70-HOP-3410-21-01

电气：
1个A类尾项，计划5月15日关闭完成
计划5月16日HOP包递交至阿曼审核
PR2ME-PIL-QTY-65-HOP-3410-21-01",,,A - Proceed,2026/5/8,A - Proceed,2026/4/28,,,Partial,2026/5/8,,,,,,,3410-21-01,TRUE,Flotation,LSU-CC-P-10 2nd Sulphide Cleaner Flotation,,TRUE,3410-21-01,PR2ME-PIL-QTY-59-HOP-3410-21-01,PR2ME-PIL-QTY-50-HOP-FC-3410-21-01,PR2ME-PIL-QTY-70-HOP-3410-21-01,TRUE,TRUE,FALSE,,,,
,Process,3310-21,BOP,LSU-CC-P-45,3310-21-04,3314-LN-801~804 & BX-801/802,Line 8 Cell 1 & 2 Launders & Boxes,,23-Mar-2026,,-46104,13,(Critical) (D:-119d) (C),MEC,,PIL(MCC15),UPLOADED TO ACONEX,,,PR2ME-PIL-QTY-59-HOP-3310-21-04,N/A,N/A,,,A - Proceed,2026/3/25,N/A,,N/A,,Subsystem C1C Ready,2026/3/25,Partial,2026/3/25,,,,,3310-21-04,TRUE,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-04,PR2ME-PIL-QTY-59-HOP-3310-21-04,,,TRUE,FALSE,FALSE,,,,
6,Process,3310-21,BOP,LSU-CC-P-45,3310-21-03,3314-FC-802,Line 8 Rougher Cell 2 & Agitator,,11-May-2026,,-46153,20,(Critical) (D:-166d),MEC+PIP+ELE+INS,,PIL(MCC15),UPLOADED TO ACONEX,,,PR2ME-PIL-QTY-59-HOP-3310-21-03,PR2ME-PIL-QTY-50-HOP-FT-3310-21-03,"PR2ME-PIL-QTY-65-HOP-3310-21-03
PR2ME-PIL-QTY-70-HOP-3310-21-03",,,A - Proceed,2026/4/28,A - Proceed,2026/2/19,A - Proceed,2026/5/13,Subsystem C1C Ready,2026/5/13,Partial,2026/2/19,,,,,3310-21-03,TRUE,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-03,PR2ME-PIL-QTY-59-HOP-3310-21-03,PR2ME-PIL-QTY-50-HOP-FT-3310-21-03,"PR2ME-PIL-QTY-65-HOP-3310-21-03
PR2ME-PIL-QTY-70-HOP-3310-21-03",TRUE,TRUE,TRUE,,,,
7,Process,3310-21,BOP,LSU-CC-P-45,3310-21-02,3314-FC-801,Line 8 Rougher Cell 1 & Agitator,,11-May-2026,,-46153,20,(Critical) (D:-166d),MEC+PIP+ELE+INS,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3310-21-02,PR2ME-PIL-QTY-50-HOP-FT-3310-21-02,"电气：
PR2ME-PIL-QTY-65-HOP-3310-21-02

仪表：
无A类尾项
计划5月14日HOP包递交至阿曼审核
PR2ME-PIL-QTY-70-HOP-3310-21-02",,,A - Proceed,2026/4/24,A - Proceed,2026/3/11,,,Partial,2026/4/24,Partial,2026/3/11,,,,,3310-21-02,TRUE,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-02,PR2ME-PIL-QTY-59-HOP-3310-21-02,PR2ME-PIL-QTY-50-HOP-FT-3310-21-02,PR2ME-PIL-QTY-65-HOP-3310-21-02,TRUE,TRUE,FALSE,,,,
8,Process,3310-21,BOP,LSU-CC-P-45,3310-21-01,3314-PU-801,Line 8 Rougher Feed Pump & VSD & Feed Box,,11-May-2026,,-46153,20,(Critical) (D:-166d),MEC+PIP+ELE+INS,,PIL(MCC15),,,"①Piping: shortage of Victaulic DN1050 & DN750 rings
(Jack)


缺少沟槽管件(DN1050卡环,DN750卡环)，业主最新信息预计6月30日到货",PR2ME-PIL-QTY-59-HOP-3310-21-01,"共9条A类，剩余1条A类缺少沟槽管件(DN1050,DN750)（主管线），业主最新信息预计6月30日到货。
PR2ME-3300-PIL-QTY-RQI-40152","电气：
5月12日HOP包已递交至阿曼审核
5月12日阿曼反馈修改，计划5月15日递交至阿曼审核
PR2ME-PIL-QTY-65-HOP-3310-21-01

仪表：
无A类尾项
5月12日HOP包已递交至阿曼审核
5月12日阿曼反馈修改，计划5月15日递交至阿曼审核
PR2ME-PIL-QTY-70-HOP-3310-21-01",,,A - Proceed,2026/4/28,,,,,Partial,2026/4/28,,,,,,,3310-21-01,TRUE,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-01,PR2ME-PIL-QTY-59-HOP-3310-21-01,,,TRUE,FALSE,FALSE,,,,
9,Process,3210-90,BOP,LSU-CC-P-54,3210-90-01,3213-HI-021,Pebble Crusher Crane,,,,0,,,,,PIL(MCC15),,,,此设备已取消,N/A,"电气：
5月31日子系统现场报验

仪表：N/A",,,,,N/A,,,,,,,,,,,,3210-90-01,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-90-01,,,,FALSE,FALSE,FALSE,,,,
