,,,,,,,,,,,,,,,,,469,"Total Subsystem QTY (Week 17,18 and 19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
/.,,,,,,,,,,,,,,,,,41,Uploaded QTY(uploaded/canceled/N/A),,,,,,,RCC Verification,,,,,,,,,,,,,,,,,,,,,
,"Master List - 3-Week Lookahead
February 2nd, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"3WLA on Weeks: 6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems 3WLA,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Received Last Week,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Forecasted Next Week,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Delayed from Last week,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems Next Week,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
/,,2100,,LSU-CR-P-01,,,Air & Water for Primary Crushing,,,,,,,ELE,,PIL(SCC),,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,
/,Process,3410-21,Train 1,LSU-CC-P-10,3410-21-02,3412-PU-103,2nd Sulfide Cleaner Concentrate Transfer Pump 2 & VSD,13-Apr-2026,20-Apr-2026,13-Apr-2026,-7,17,(D:-7d),MEC+PIP+ELE+INS,,PIL(MCC15),,,①MECH: waiting for first filling oil to the motor to complete the HOP,注油后提交HOP包,"1、包内含有11条管道，计划分成1个包来验收，已验收完。
3400管线11条矿浆管线，报验完成。
2、问题：

下一步工作计划：
4月20日关闭1条A类，剩余4条A类，计划4月22日关闭完成尾项。","仪表：
计划4月28日子系统现场报验


电气：
计划4月23日子系统现场报验",,,,,,,,,,,,,TRUE,3410-21-02,,,,FALSE,FALSE,FALSE,,,,
/.,Process,3410-21,Train 1,LSU-CC-P-10,3410-21-01,3412-PU-102,2nd Sulfide Cleaner Concentrate Transfer Pump 1 & VSD,13-Apr-2026,20-Apr-2026,13-Apr-2026,-7,17,(D:-7d),MEC+ELE+INS,,PIL(MCC15),,,①MECH: waiting for first filling oil to the motor to complete the HOP,注油后提交HOP包,N/A,"仪表：
计划4月28日子系统现场报验

电气：
计划4月23日子系统现场报验",,,,,N/A,,,,,,,,TRUE,3410-21-01,,,,FALSE,FALSE,FALSE,,,,
,Process,3310-21,BOP,LSU-CC-P-45,3310-21-04,3314-LN-801~804 & BX-801/802,Line 8 Cell 1 & 2 Launders & Boxes,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3310-21-04,,,,,A - Proceed,2026/3/25,,,,,Partial,2026/3/25,Partial,2026/3/25,TRUE,3310-21-04,PR2ME-PIL-QTY-59-HOP-3310-21-04,,,TRUE,TRUE,TRUE,,,,
