-,,,,,,,,,,,,,,,,,418,"Total Subsystem QTY (Week 18, 19 and 20)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/.,,,,,,,,,,,,,,,,,41,Uploaded QTY(uploaded/canceled/N/A),,,,,,,RCC Verification,,,,,,,,,,,,,,,,,,,,,,,,
,"Master List - 3-Week Lookahead
February 2nd, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"3WLA on Weeks: 6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems 3WLA,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Received Last Week,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Forecasted Next Week,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Delayed from Last week,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems Next Week,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,Area,LSU,,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
/,,2100,,LSU-CR-P-01,,,Air & Water for Primary Crushing,,,,,,,ELE,,PIL(SCC),,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,
/,Process,3410-21,Train 1,LSU-CC-P-10,3410-21-02,3412-PU-103,2nd Sulfide Cleaner Concentrate Transfer Pump 2 & VSD,13-Apr-2026,27-Apr-2026,13-Apr-2026,-14,18,(D:-14d),MEC+PIP+ELE+INS,,PIL(MCC15),,,,预计4月29日下午提交HOP包（PR2ME-PIL-QTY-59-3410-21-01）,PR2ME-PIL-QTY-50-HOP-FC-3410-21-02,"仪表：
4月27日子系统RQI已送至现场报验，待验收
RQI：PR2ME-3400-PIL-QTY-RQI-60070

电气：
4月23日子系统RQI已送至现场报验，待验收
RQI：PR2ME-3400-PIL-QTY-RQI-50118",,,,,A - Proceed,2026/4/28,,,Partial,2026/4/28,,,Flotation,LSU-CC-P-10 2nd Sulphide Cleaner Flotation,,TRUE,3410-21-02,,PR2ME-PIL-QTY-50-HOP-FC-3410-21-02,,FALSE,TRUE,FALSE,,,,
/.,Process,3410-21,Train 1,LSU-CC-P-10,3410-21-01,3412-PU-102,2nd Sulfide Cleaner Concentrate Transfer Pump 1 & VSD,13-Apr-2026,27-Apr-2026,13-Apr-2026,-14,18,(D:-14d),MEC+ELE+INS,,PIL(MCC15),,,,4月28日已提交HOP包（PR2ME-PIL-QTY-59-3410-21-02）,PR2ME-PIL-QTY-50-HOP-FC-3410-21-01,"仪表：
4月27日子系统RQI已送至现场报验，待验收
PR2ME-3400-PIL-QTY-RQI-60070

电气：
4月23日子系统RQI已送至现场报验，待验收
RQI：PR2ME-3400-PIL-QTY-RQI-50119",,,,,A - Proceed,2026/4/28,,,Partial,2026/4/28,,,Flotation,LSU-CC-P-10 2nd Sulphide Cleaner Flotation,,TRUE,3410-21-01,,PR2ME-PIL-QTY-50-HOP-FC-3410-21-01,,FALSE,TRUE,FALSE,,,,
,Process,3310-21,BOP,LSU-CC-P-45,3310-21-04,3314-LN-801~804 & BX-801/802,Line 8 Cell 1 & 2 Launders & Boxes,,,,0,,,,,PIL(MCC15),UPLOADED TO ACONEX,,,PR2ME-PIL-QTY-59-HOP-3310-21-04,N/A,N/A,,,A - Proceed,2026/3/25,N/A,,N/A,,Subsystem C1C Ready,2026/3/25,Partial,2026/3/25,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-04,PR2ME-PIL-QTY-59-HOP-3310-21-04,,,TRUE,FALSE,FALSE,,,,
6,Process,3310-21,BOP,LSU-CC-P-45,3310-21-03,3314-FC-802,Line 8 Rougher Cell 2 & Agitator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3310-21-03,PR2ME-PIL-QTY-50-HOP-FT-3310-21-03,"电气：
计划5月31日子系统现场验收
HOP：PR2ME-PIL-QTY-65-HOP-3310-21-03
仪表：
计划5月31日子系统现场验收
HOP：PR2ME-PIL-QTY-70-HOP-3310-21-03",,,A - Proceed,2026/4/28,A - Proceed,2026/2/19,,,Partial,2026/4/28,Partial,2026/2/19,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-03,PR2ME-PIL-QTY-59-HOP-3310-21-03,PR2ME-PIL-QTY-50-HOP-FT-3310-21-03,,TRUE,TRUE,FALSE,,,,
7,Process,3310-21,BOP,LSU-CC-P-45,3310-21-02,3314-FC-801,Line 8 Rougher Cell 1 & Agitator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3310-21-02,PR2ME-PIL-QTY-50-HOP-FT-3310-21-02,"电气：
计划5月31日子系统现场验收

仪表：
计划5月31日子系统现场验收",,,A - Proceed,2026/4/24,A - Proceed,2026/3/11,,,Partial,2026/4/24,Partial,2026/3/11,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-02,PR2ME-PIL-QTY-59-HOP-3310-21-02,PR2ME-PIL-QTY-50-HOP-FT-3310-21-02,,TRUE,TRUE,FALSE,,,,
8,Process,3310-21,BOP,LSU-CC-P-45,3310-21-01,3314-PU-801,Line 8 Rougher Feed Pump & VSD & Feed Box,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3310-21-01,"33区域共计2条管线。
4月22日已报验完成，共9条A类，缺少沟槽管件(DN1050卡环,DN750卡环)，业主最新信息预计5月30日到货。
PR2ME-3300-PIL-QTY-RQI-40152","电气：
计划5月31日子系统现场验收

仪表：
计划5月31日子系统现场验收",,,A - Proceed,2026/4/28,,,,,Partial,2026/4/28,,,Flotation,LSU-CC-P-45 Line 8 Rougher/Scavenger Flotation,,TRUE,3310-21-01,PR2ME-PIL-QTY-59-HOP-3310-21-01,,,TRUE,FALSE,FALSE,,,,
9,Process,3210-90,BOP,LSU-CC-P-54,3210-90-01,3213-HI-021,Pebble Crusher Crane,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：
5月31日子系统现场报验

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-90-01,,,,TRUE,FALSE,FALSE,,,,
10,Process,3210-14,Train 1,LSU-CC-P-54,3210-14-01,3211-PU-065,Pebble Transfer Bin and Crushing Areas Sump Pumps ,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-SP-3210-14-01,"电气：
计划6月1日子系统现场验收

仪表：
计划6月1日子系统现场验收",,,,,A - Proceed,2026/4/15,,,Partial,2026/4/15,Partial,2026/4/15,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-14-01,,PR2ME-PIL-QTY-50-HOP-SP-3210-14-01,,TRUE,TRUE,FALSE,,,,
11,Process,3210-13,BOP,LSU-CC-P-54,3210-13-07,3213-ME-806,Pebble Crusher 8 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-13-07,N/A,"电气：N/A

仪表：
计划5月31日子系统现场报验",,,A - Proceed,2026/4/8,N/A,,,,Partial,2026/4/8,Partial,2026/4/8,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-13-07,PR2ME-PIL-QTY-59-HOP-3210-13-07,,,TRUE,FALSE,FALSE,,,,
